Customer ID,Age,Gender,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Promo Dependency,CLV Proxy,Previous Purchases Scaled,Frequency Scaled,Promo Dep Scaled,Subscription Scaled,Loyalty Score,Loyal Customer,Satisfaction Tier,Customer Segment
1,55,Male,Clothing,53,Kentucky,Winter,3.1,1,Express,1,1,14,Venmo,3,2,2226,2.65,3.33,10,10,1.99,0,0,Low-Engagement Casuals
2,19,Male,Clothing,64,Maine,Winter,3.1,1,Express,1,1,2,Cash,3,2,384,0.2,3.33,10,10,1.18,0,0,Low-Engagement Casuals
3,50,Male,Clothing,73,Massachusetts,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,2,2,3358,4.49,1.67,10,10,2.05,0,0,Low-Engagement Casuals
4,21,Male,Footwear,90,Rhode Island,Spring,3.5,1,Next Day Air,1,1,49,PayPal,2,2,8820,9.8,1.67,10,10,3.82,0,0,At-Risk High-Value
5,45,Male,Clothing,49,Oregon,Spring,2.7,1,Free Shipping,1,1,31,PayPal,7,2,10633,6.12,10,10,10,5.37,0,0,At-Risk High-Value
6,46,Male,Footwear,20,Wyoming,Summer,2.9,1,Standard,1,1,14,Venmo,2,2,560,2.65,1.67,10,10,1.44,0,0,Low-Engagement Casuals
7,63,Male,Clothing,85,Montana,Fall,3.2,1,Free Shipping,1,1,49,Cash,6,2,24990,9.8,8.33,10,10,6.04,0,0,At-Risk High-Value
8,27,Male,Clothing,34,Louisiana,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,2,2,1292,3.67,1.67,10,10,1.78,0,0,Low-Engagement Casuals
9,26,Male,Outerwear,97,West Virginia,Summer,2.6,1,Express,1,1,8,Venmo,7,2,5432,1.43,10,10,10,3.81,0,0,At-Risk High-Value
10,57,Male,Accessories,31,Missouri,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,6,2,744,0.61,8.33,10,10,2.98,0,1,Low-Engagement Casuals
11,53,Male,Footwear,34,Arkansas,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,1,2,884,5.1,0,10,10,1.7,0,1,Low-Engagement Casuals
12,30,Male,Clothing,68,Hawaii,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,3,2,2040,1.84,3.33,10,10,1.72,0,1,Low-Engagement Casuals
13,61,Male,Outerwear,72,Delaware,Winter,4.5,1,Express,1,1,37,Venmo,3,2,7992,7.35,3.33,10,10,3.56,0,1,At-Risk High-Value
14,65,Male,Clothing,51,New Hampshire,Spring,4.7,1,Express,1,1,31,PayPal,2,2,3162,6.12,1.67,10,10,2.6,0,1,Low-Engagement Casuals
15,64,Male,Outerwear,53,New York,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,2,2,3604,6.73,1.67,10,10,2.8,0,1,Low-Engagement Casuals
16,64,Male,Clothing,81,Rhode Island,Winter,2.8,1,Store Pickup,1,1,8,PayPal,4,2,2592,1.43,5,10,10,2.14,0,0,Low-Engagement Casuals
17,25,Male,Accessories,36,Alabama,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,1,2,1584,8.78,0,10,10,2.93,0,1,Low-Engagement Casuals
18,53,Male,Clothing,38,Mississippi,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,6,2,8208,7.14,8.33,10,10,5.16,0,1,At-Risk High-Value
19,52,Male,Clothing,48,Montana,Summer,4.6,1,Free Shipping,1,1,17,Cash,2,2,1632,3.27,1.67,10,10,1.65,0,1,Low-Engagement Casuals
20,66,Male,Clothing,90,Rhode Island,Summer,3.3,1,Standard,1,1,46,Debit Card,1,2,4140,9.18,0,10,10,3.06,0,0,Low-Engagement Casuals
21,21,Male,Clothing,51,Louisiana,Winter,2.8,1,Express,1,1,50,Cash,5,2,12750,10,6.67,10,10,5.56,0,0,At-Risk High-Value
22,31,Male,Clothing,62,North Carolina,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,6,2,8184,4.29,8.33,10,10,4.21,0,1,At-Risk High-Value
23,56,Male,Clothing,37,California,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,7,2,8288,6.33,10,10,10,5.44,0,0,At-Risk High-Value
24,31,Male,Clothing,88,Oklahoma,Winter,4.4,1,Express,1,1,40,Credit Card,2,2,7040,7.96,1.67,10,10,3.21,0,1,At-Risk High-Value
25,18,Male,Outerwear,22,Florida,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,2,2,704,3.06,1.67,10,10,1.58,0,0,Low-Engagement Casuals
26,18,Male,Clothing,25,Texas,Summer,3.6,1,Express,1,1,14,PayPal,7,2,2450,2.65,10,10,10,4.22,0,0,Low-Engagement Casuals
27,38,Male,Accessories,20,Nevada,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,7,2,1820,2.45,10,10,10,4.15,0,0,Low-Engagement Casuals
28,56,Male,Clothing,56,Kentucky,Summer,5,1,Next Day Air,1,1,7,Bank Transfer,5,2,1960,1.22,6.67,10,10,2.63,0,1,Low-Engagement Casuals
29,54,Male,Accessories,94,North Carolina,Fall,4.4,1,Free Shipping,1,1,41,PayPal,5,2,19270,8.16,6.67,10,10,4.94,0,1,At-Risk High-Value
30,31,Male,Clothing,48,Wyoming,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,2,2,1344,2.65,1.67,10,10,1.44,0,1,Low-Engagement Casuals
31,57,Male,Accessories,31,North Carolina,Winter,4.7,1,Standard,1,1,16,Credit Card,4,2,1984,3.06,5,10,10,2.69,0,1,Low-Engagement Casuals
32,33,Male,Clothing,79,West Virginia,Winter,4.7,1,Store Pickup,1,1,45,Venmo,4,2,14220,8.98,5,10,10,4.66,0,1,At-Risk High-Value
33,36,Male,Outerwear,67,Kansas,Summer,4.9,1,Free Shipping,1,1,37,Venmo,7,2,17353,7.35,10,10,10,5.78,0,1,At-Risk High-Value
34,54,Male,Clothing,38,Colorado,Summer,3.3,1,Store Pickup,1,1,45,Cash,6,2,10260,8.98,8.33,10,10,5.77,0,0,At-Risk High-Value
35,36,Male,Clothing,91,North Dakota,Spring,4.6,1,2-Day Shipping,1,1,38,PayPal,6,2,20748,7.55,8.33,10,10,5.29,0,1,At-Risk High-Value
36,54,Male,Clothing,33,Massachusetts,Summer,4,1,2-Day Shipping,1,1,48,Credit Card,1,2,1584,9.59,0,10,10,3.2,0,1,Low-Engagement Casuals
37,35,Male,Clothing,69,Illinois,Winter,4.6,1,Free Shipping,1,1,44,PayPal,3,2,9108,8.78,3.33,10,10,4.04,0,1,At-Risk High-Value
38,35,Male,Clothing,45,Indiana,Summer,2.8,1,Store Pickup,1,1,10,PayPal,2,2,900,1.84,1.67,10,10,1.17,0,0,Low-Engagement Casuals
39,29,Male,Clothing,37,Florida,Winter,3.75,1,2-Day Shipping,1,1,44,Venmo,5,2,8140,8.78,6.67,10,10,5.15,0,0,At-Risk High-Value
40,70,Male,Clothing,60,Arizona,Summer,4.2,1,Express,1,1,18,Credit Card,4,2,4320,3.47,5,10,10,2.82,0,1,At-Risk High-Value
41,69,Male,Accessories,76,Louisiana,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,6,2,14136,6.12,8.33,10,10,4.82,0,1,At-Risk High-Value
42,67,Male,Accessories,39,Alaska,Spring,4.5,1,Standard,1,1,40,Venmo,7,2,10920,7.96,10,10,10,5.99,0,1,At-Risk High-Value
43,20,Male,Outerwear,100,Tennessee,Spring,4.1,1,Free Shipping,1,1,15,PayPal,7,2,10500,2.86,10,10,10,4.29,0,1,At-Risk High-Value
44,25,Male,Accessories,69,Ohio,Fall,3.7,1,Store Pickup,1,1,19,PayPal,3,2,3933,3.67,3.33,10,10,2.33,0,0,Low-Engagement Casuals
45,39,Male,Accessories,53,Kentucky,Summer,4.6,1,Free Shipping,1,1,45,PayPal,2,2,4770,8.98,1.67,10,10,3.55,0,1,At-Risk High-Value
46,50,Male,Clothing,21,Tennessee,Fall,2.9,1,2-Day Shipping,1,1,25,PayPal,7,2,3675,4.9,10,10,10,4.97,0,0,Low-Engagement Casuals
47,57,Male,Clothing,43,California,Summer,2.9,1,Store Pickup,1,1,45,Cash,6,2,11610,8.98,8.33,10,10,5.77,0,0,At-Risk High-Value
48,55,Male,Accessories,54,Montana,Winter,4.5,1,Free Shipping,1,1,36,Cash,2,2,3888,7.14,1.67,10,10,2.94,0,1,Low-Engagement Casuals
49,42,Male,Clothing,55,Nevada,Summer,2.7,1,Store Pickup,1,1,38,Cash,4,2,8360,7.55,5,10,10,4.18,0,0,At-Risk High-Value
50,68,Male,Clothing,30,New Jersey,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,1,2,1020,6.73,0,10,10,2.24,0,1,Low-Engagement Casuals
51,49,Male,Clothing,28,Maryland,Spring,3.75,1,Store Pickup,1,1,39,Debit Card,1,2,1092,7.76,0,10,10,2.59,0,0,Low-Engagement Casuals
52,59,Male,Clothing,59,Vermont,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,6,2,2478,1.22,8.33,10,10,3.18,0,1,Low-Engagement Casuals
53,42,Male,Clothing,20,Alaska,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,2,2,1040,5.1,1.67,10,10,2.26,0,0,Low-Engagement Casuals
54,29,Male,Clothing,24,Mississippi,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,2,2,1680,6.94,1.67,10,10,2.87,0,1,Low-Engagement Casuals
55,47,Male,Outerwear,94,New Mexico,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,1,2,3290,6.94,0,10,10,2.31,0,1,Low-Engagement Casuals
56,40,Male,Outerwear,28,South Carolina,Winter,3,1,2-Day Shipping,1,1,49,Credit Card,7,2,9604,9.8,10,10,10,6.6,0,0,At-Risk High-Value
57,41,Male,Accessories,73,Mississippi,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,2,2,6716,9.18,1.67,10,10,3.62,0,1,At-Risk High-Value
